name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2018-01-01,91.4,66.2,78.8,90.7,66.2,78.6,61.6,59.7,0.0,0,0.0,,0,0,5.4,9.2,66.3,1012.5,27.5,2.0,0.0,0.0,0,,2018-01-01T06:58:47,2018-01-01T18:41:41,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2018-01-02,89.7,69.8,79.0,88.3,69.8,78.5,61.4,59.0,0.0,0,0.0,,0,0,13.4,9.2,40.8,1011.9,28.8,0.9,264.5,22.0,9,,2018-01-02T06:59:12,2018-01-02T18:42:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,65208099999"
"Abeokuta, Ogun, Nigeria",2018-01-03,91.4,71.2,80.1,90.1,71.2,79.5,59.8,54.6,0.0,0,0.0,,0,0,15.9,15.0,47.8,1012.6,25.0,0.6,258.1,22.4,9,,2018-01-03T06:59:37,2018-01-03T18:42:43,0.55,Partially cloudy,Partly cloudy throughout the day.,fog,"DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2018-01-04,93.2,69.5,79.7,91.4,69.5,79.0,58.1,51.8,0.0,0,0.0,,0,0,19.5,10.3,65.6,1013.5,28.4,1.5,262.2,22.6,9,,2018-01-04T07:00:01,2018-01-04T18:43:13,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,65202099999,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2018-01-05,91.4,66.2,78.2,88.7,66.2,77.4,57.6,53.9,0.0,0,0.0,,0,0,17.4,11.4,111.1,1013.6,25.8,3.0,265.1,22.9,9,,2018-01-05T07:00:24,2018-01-05T18:43:44,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2018-01-06,91.4,67.6,77.8,90.1,67.6,77.9,64.0,65.9,0.0,0,0.0,,0,0,16.3,8.1,262.2,1013.2,27.9,2.4,260.7,22.6,9,,2018-01-06T07:00:46,2018-01-06T18:44:15,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2018-01-07,89.6,70.0,79.6,94.9,70.0,82.0,71.6,78.3,0.0,0,0.0,,0,0,18.3,6.9,201.8,1012.7,33.7,1.3,238.5,20.5,9,,2018-01-07T07:01:08,2018-01-07T18:44:45,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2018-01-08,93.2,75.2,81.6,102.8,75.2,85.8,74.7,81.1,0.0,0,0.0,,0,0,18.1,8.1,178.9,1013.3,34.3,1.8,246.6,21.2,9,,2018-01-08T07:01:29,2018-01-08T18:45:15,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,65208099999"
"Abeokuta, Ogun, Nigeria",2018-01-09,95.0,75.2,82.6,99.8,75.2,85.6,73.3,77.2,2.142,100,4.17,rain,0,0,20.8,10.3,181.4,1013.0,32.6,3.3,248.6,21.5,9,,2018-01-09T07:01:50,2018-01-09T18:45:45,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2018-01-10,91.3,75.5,82.1,98.2,75.5,85.9,73.6,77.6,0.0,0,0.0,,0,0,18.1,6.9,205.6,1013.1,44.9,4.3,232.3,20.2,8,,2018-01-10T07:02:09,2018-01-10T18:46:14,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,remote,65201099999,65100099999,65208099999"
