name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2023-01-15,92.4,75.3,83.3,99.7,75.3,88.5,73.7,74.4,0.0,0,0.0,,0,0,16.3,7.4,152.6,1011.6,35.9,3.3,217.3,18.8,8,10,2023-01-15T07:03:34,2023-01-15T18:48:32,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-16,95.3,73.0,83.6,100.9,73.0,87.7,71.2,69.0,0.0,0,0.0,,0,0,14.5,16.1,7.0,1011.1,26.8,3.2,258.8,22.2,9,10,2023-01-16T07:03:49,2023-01-16T18:49:00,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-17,95.0,74.9,84.0,99.2,74.9,87.1,70.9,68.7,0.0,0,0.0,,0,0,16.1,13.9,160.5,1011.3,31.0,3.1,258.7,22.5,9,10,2023-01-17T07:04:03,2023-01-17T18:49:26,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,remote,65201099999,65100099999"
"Abeokuta, Ogun, Nigeria",2023-01-18,95.0,73.4,82.9,103.2,73.4,87.4,73.1,74.1,0.0,0,0.0,,0,0,17.9,9.9,202.9,1011.2,38.3,3.8,256.7,22.1,9,10,2023-01-18T07:04:16,2023-01-18T18:49:52,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999"
"Abeokuta, Ogun, Nigeria",2023-01-19,93.3,74.4,82.7,104.7,74.4,88.7,75.6,80.7,0.0,0,0.0,,0,0,17.4,13.9,192.7,1011.6,37.1,4.0,248.3,21.5,9,10,2023-01-19T07:04:28,2023-01-19T18:50:18,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-20,94.2,77.0,83.8,103.6,77.0,89.2,75.3,77.6,0.0,0,0.0,,0,0,19.0,11.4,182.1,1011.3,46.3,4.7,222.5,19.2,8,30,2023-01-20T07:04:39,2023-01-20T18:50:43,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-21,93.2,77.2,84.0,103.8,77.2,90.9,75.8,78.0,0.0,0,0.0,,0,0,22.4,11.4,189.4,1011.1,47.0,5.0,214.8,18.3,8,30,2023-01-21T07:04:49,2023-01-21T18:51:08,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-22,93.2,78.8,84.1,106.1,78.8,91.9,76.5,79.3,0.0,0,0.0,,0,0,21.0,9.2,211.1,1010.3,46.9,5.0,198.7,17.3,7,60,2023-01-22T07:04:58,2023-01-22T18:51:32,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-23,93.2,78.8,84.7,105.0,78.8,92.4,75.9,76.3,0.0,0,0.0,,0,0,21.7,8.8,195.1,1010.4,49.6,5.8,212.5,18.3,8,30,2023-01-23T07:05:07,2023-01-23T18:51:55,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-24,95.0,77.0,84.6,107.4,77.0,92.5,76.6,78.7,0.0,0,0.0,,0,0,21.0,11.4,193.2,1010.4,46.1,5.8,224.8,19.4,8,30,2023-01-24T07:05:14,2023-01-24T18:52:18,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
