name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2017-01-01,93.2,71.5,81.5,99.2,71.5,84.4,70.7,72.9,0.0,0,0.0,,0,0,13.0,8.3,179.9,1011.3,22.0,1.1,251.3,21.7,9,,2017-01-01T06:58:53,2017-01-01T18:41:48,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999,65208099999"
"Abeokuta, Ogun, Nigeria",2017-01-02,95.0,75.0,82.9,104.0,75.0,87.7,74.6,78.2,0.0,0,0.0,,0,0,13.0,6.9,247.6,1011.7,25.1,1.4,250.9,21.6,9,,2017-01-02T06:59:18,2017-01-02T18:42:19,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2017-01-03,93.6,75.2,83.1,99.2,75.2,86.5,72.7,73.5,0.0,0,0.0,,0,0,12.1,8.1,357.0,1012.1,23.2,1.8,252.7,21.8,9,,2017-01-03T06:59:42,2017-01-03T18:42:50,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2017-01-04,95.0,75.0,83.1,97.3,75.0,83.8,67.9,65.0,0.0,0,0.0,,0,0,15.0,9.2,9.6,1011.4,19.5,2.0,258.4,22.4,9,,2017-01-04T07:00:06,2017-01-04T18:43:21,0.22,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNMM,remote,65201099999"
"Abeokuta, Ogun, Nigeria",2017-01-05,93.3,72.2,82.0,101.3,72.2,86.6,73.1,76.2,0.0,0,0.0,,0,0,14.8,6.9,270.9,1010.4,29.3,2.1,245.2,21.3,9,,2017-01-05T07:00:29,2017-01-05T18:43:51,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
"Abeokuta, Ogun, Nigeria",2017-01-06,95.0,77.0,83.8,105.0,77.0,89.6,75.7,78.8,0.0,0,0.0,,0,0,17.4,8.1,220.3,1010.5,34.3,2.3,246.7,21.4,9,,2017-01-06T07:00:51,2017-01-06T18:44:22,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999,65208099999"
"Abeokuta, Ogun, Nigeria",2017-01-07,91.4,77.0,83.4,105.1,77.0,91.3,77.1,82.6,0.0,0,0.0,,0,0,17.9,8.1,183.1,1012.0,39.4,2.2,219.7,18.7,8,,2017-01-07T07:01:13,2017-01-07T18:44:52,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2017-01-08,96.8,76.6,84.2,109.8,76.6,90.9,76.3,79.4,0.0,0,0.0,,0,0,16.8,8.3,335.4,1011.8,35.7,2.6,215.2,18.5,8,,2017-01-08T07:01:34,2017-01-08T18:45:22,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2017-01-09,95.0,77.0,84.2,105.1,77.0,89.3,73.4,72.9,0.0,0,0.0,,0,0,15.2,6.8,181.9,1010.4,37.8,2.4,234.2,20.2,9,,2017-01-09T07:01:54,2017-01-09T18:45:52,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2017-01-10,95.0,77.0,83.1,101.4,77.0,87.2,74.1,76.4,0.0,0,0.0,,0,0,19.0,10.3,217.1,1009.6,36.7,3.3,242.6,21.1,9,,2017-01-10T07:02:14,2017-01-10T18:46:21,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999"
