name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2026-01-01,92.7,77.3,84.0,105.6,77.3,91.8,76.6,80.0,0.0,0.0,0.0,,0,0,20.8,12.4,236.1,1010.8,49.3,5.5,210.3,18.2,8,60,2026-01-01T06:58:52,2026-01-01T18:41:46,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NIM00065203,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-02,91.4,78.8,83.5,106.1,78.8,91.5,77.4,82.5,0.008,100.0,8.33,rain,0,0,22.8,18.3,247.0,1011.6,61.3,5.9,214.6,18.5,8,60,2026-01-02T06:59:17,2026-01-02T18:42:17,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNIB,NII0000DNIB,DNMM,NIM00065203,NII0000DNMM,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-03,93.2,78.0,84.1,105.4,78.0,91.4,76.1,78.4,0.012,100.0,8.33,rain,0,0,19.0,15.0,221.5,1012.3,43.8,6.3,207.9,18.0,8,30,2026-01-03T06:59:42,2026-01-03T18:42:48,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-04,93.2,76.9,83.6,104.4,76.9,89.4,75.3,77.8,0.008,100.0,4.17,rain,0,0,18.6,11.4,215.0,1012.3,47.6,5.8,222.8,19.2,8,30,2026-01-04T07:00:06,2026-01-04T18:43:19,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNIB,NII0000DNIB,DNMM,NIM00065203,NII0000DNMM,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-05,95.4,77.0,84.6,108.8,77.0,93.1,76.8,79.0,0.0,0.0,0.0,,0,0,20.6,12.8,237.4,1011.1,42.5,5.4,230.8,20.0,9,30,2026-01-05T07:00:29,2026-01-05T18:43:50,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NIM00065203,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-06,94.0,78.8,84.9,107.5,78.8,92.9,76.3,77.3,0.0,0.0,0.0,,0,0,20.1,12.6,246.1,1011.0,52.6,5.3,235.3,20.4,9,60,2026-01-06T07:00:51,2026-01-06T18:44:20,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NIM00065203,NII0000DNMM,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-07,93.4,78.7,84.3,103.5,78.7,91.8,76.6,79.2,0.04,100.0,20.83,rain,0,0,17.7,16.7,219.6,1011.4,47.5,7.3,198.5,17.1,7,30,2026-01-07T07:01:13,2026-01-07T18:44:50,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNIB,NII0000DNIB,DNMM,NIM00065203,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-08,92.9,77.6,83.9,109.4,77.6,91.1,76.5,79.6,0.068,100.0,25.0,rain,0,0,17.0,8.7,212.4,1012.1,44.5,10.0,183.2,15.8,6,30,2026-01-08T07:01:34,2026-01-08T18:45:20,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNIB,NII0000DNIB,DNMM,NIM00065203,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-09,90.4,74.4,81.1,100.6,74.4,85.1,74.8,82.2,0.028,100.0,29.17,rain,0,0,19.0,10.3,234.4,1012.1,61.0,10.6,197.0,17.1,7,30,2026-01-09T07:01:55,2026-01-09T18:45:50,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNIB,NII0000DNIB,DNMM,remote,NII0000DNMM,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-10,95.1,77.0,83.7,107.8,77.0,89.5,75.8,79.1,0.0,0.0,0.0,,0,0,17.0,10.3,251.8,1011.2,42.5,6.7,238.0,20.6,8,10,2026-01-10T07:02:14,2026-01-10T18:46:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-11,89.6,78.7,81.9,102.6,78.7,88.0,77.6,87.5,0.0,0.0,0.0,,0,0,16.6,7.7,295.1,1011.2,57.1,8.3,245.1,21.2,9,10,2026-01-11T07:02:33,2026-01-11T18:46:49,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,NIM00065203,remote,NII0000DNMM"
"Abeokuta, Ogun, Nigeria",2026-01-12,93.2,73.4,82.7,106.0,73.4,88.4,75.4,82.0,0.008,100.0,8.33,rain,0,0,15.7,10.3,90.3,1011.1,50.9,3.5,224.9,19.5,8,10,2026-01-12T07:02:51,2026-01-12T18:47:17,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-13,95.3,77.0,84.0,125.7,77.0,92.5,76.4,79.8,0.0,0.0,0.0,,0,0,15.7,8.1,243.7,1010.5,35.9,4.7,233.9,20.3,9,10,2026-01-13T07:03:08,2026-01-13T18:47:46,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,NIM00065208"
"Abeokuta, Ogun, Nigeria",2026-01-14,93.3,78.8,84.3,109.4,78.8,93.3,77.4,80.9,0.0,0.0,0.0,,0,0,18.1,10.3,253.0,1010.6,40.6,4.5,239.7,20.9,9,10,2026-01-14T07:03:24,2026-01-14T18:48:14,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,NIM00065208"
