name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2019-01-01,98.3,76.8,84.9,109.1,76.8,91.1,75.4,76.2,0.0,0,0.0,,0,0,16.8,9.2,324.2,1014.1,28.7,2.7,256.0,22.2,9,,2019-01-01T06:58:41,2019-01-01T18:41:33,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65202099999,DNMM,65201099999"
"Abeokuta, Ogun, Nigeria",2019-01-02,93.3,75.2,83.9,107.5,75.2,90.0,75.0,77.4,0.0,0,0.0,,0,0,14.8,11.4,216.3,1013.9,34.2,2.7,246.8,21.5,9,,2019-01-02T06:59:07,2019-01-02T18:42:04,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,remote,65201099999"
"Abeokuta, Ogun, Nigeria",2019-01-03,94.0,73.5,83.6,102.7,73.5,89.1,73.7,74.3,0.0,0,0.0,,0,0,15.4,9.1,290.7,1012.8,25.9,2.8,247.9,21.4,9,,2019-01-03T06:59:31,2019-01-03T18:42:35,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65213099999,DNIB,65202099999,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2019-01-04,97.4,75.6,84.7,107.5,75.6,88.5,71.1,69.3,0.0,0,0.0,,0,0,14.8,8.1,339.0,1012.5,25.5,2.3,250.7,21.6,9,,2019-01-04T06:59:55,2019-01-04T18:43:06,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2019-01-05,98.6,73.7,85.7,104.2,73.7,85.5,61.9,54.7,0.0,0,0.0,,0,0,16.8,10.3,32.0,1012.1,21.3,2.6,254.5,21.8,9,,2019-01-05T07:00:19,2019-01-05T18:43:37,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,65208099999"
"Abeokuta, Ogun, Nigeria",2019-01-06,95.0,72.4,82.3,107.4,72.4,86.6,70.7,69.7,0.0,0,0.0,,0,0,17.7,11.4,139.0,1012.8,30.2,2.6,253.9,21.9,9,,2019-01-06T07:00:41,2019-01-06T18:44:08,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2019-01-07,92.7,75.2,82.8,100.3,75.2,86.8,71.9,74.0,0.0,0,0.0,,0,0,15.4,26.4,276.1,1012.4,26.6,2.7,243.9,21.1,9,,2019-01-07T07:01:03,2019-01-07T18:44:38,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
"Abeokuta, Ogun, Nigeria",2019-01-08,95.0,73.3,82.7,105.2,73.3,87.4,73.7,76.9,0.0,0,0.0,,0,0,15.2,9.2,12.6,1012.0,19.8,2.2,254.7,21.9,9,,2019-01-08T07:01:25,2019-01-08T18:45:08,0.08,Clear,Clear conditions throughout the day.,clear-day,"65210099999,65202099999,DNMM,remote,65201099999"
"Abeokuta, Ogun, Nigeria",2019-01-09,95.1,73.4,83.4,99.7,73.4,85.8,70.6,69.5,0.0,0,0.0,,0,0,17.9,8.8,111.1,1011.5,17.4,1.8,256.6,22.2,9,,2019-01-09T07:01:45,2019-01-09T18:45:38,0.11,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,65202099999,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2019-01-10,95.0,77.0,83.7,107.4,77.0,89.1,73.6,73.2,0.0,0,0.0,,0,0,19.0,6.9,182.5,1011.4,31.1,2.1,223.7,19.4,8,,2019-01-10T07:02:05,2019-01-10T18:46:08,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
