name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2021-01-01,92.3,76.7,83.3,105.2,76.7,89.2,75.5,79.1,0.0,0,0.0,,0,0,19.0,8.1,216.7,1010.6,42.6,3.6,231.0,19.7,8,,2021-01-01T06:58:55,2021-01-01T18:41:50,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,65201099999,NIM00065208,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2021-01-02,93.2,78.7,84.2,107.6,78.7,91.3,76.3,78.6,0.0,0,0.0,,0,0,17.4,9.2,210.7,1010.6,42.1,5.2,216.2,18.8,8,,2021-01-02T06:59:20,2021-01-02T18:42:21,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,65201099999,NIM00065208,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2021-01-03,91.8,78.3,84.2,105.2,78.3,92.6,77.6,81.8,0.004,100,4.17,rain,0,0,14.8,9.2,205.9,1010.4,34.6,4.9,184.6,15.9,7,,2021-01-03T06:59:45,2021-01-03T18:42:52,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,remote,NII0000DNMM,65201099999,NIM00065208,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2021-01-04,94.4,73.2,83.2,110.5,73.2,89.3,75.8,80.2,0.0,0,0.0,,0,0,19.9,16.4,198.9,1009.9,38.6,5.7,199.2,17.1,8,,2021-01-04T07:00:08,2021-01-04T18:43:23,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,remote,NII0000DNMM,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2021-01-05,92.5,72.8,82.0,105.2,72.8,87.3,74.9,80.5,0.079,100,4.17,rain,0,0,51.9,11.4,241.2,1009.5,39.2,6.1,207.2,17.9,8,,2021-01-05T07:00:31,2021-01-05T18:43:54,0.72,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,remote,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2021-01-06,92.4,71.6,83.0,106.9,71.6,89.5,76.2,81.1,0.012,100,8.33,rain,0,0,20.8,13.9,226.8,1009.9,38.9,6.0,192.8,16.6,8,,2021-01-06T07:00:54,2021-01-06T18:44:24,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,remote,65201099999,65100099999"
"Abeokuta, Ogun, Nigeria",2021-01-07,94.7,72.8,82.1,105.2,72.8,87.2,74.1,78.6,0.0,0,0.0,,0,0,20.6,13.9,231.9,1010.8,52.1,5.9,209.4,18.2,8,,2021-01-07T07:01:15,2021-01-07T18:44:54,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,remote,NII0000DNMM,65201099999,65100099999"
"Abeokuta, Ogun, Nigeria",2021-01-08,91.4,73.5,82.5,105.2,73.5,87.1,75.5,81.1,0.008,100,4.17,rain,0,0,19.7,11.4,219.6,1010.8,66.6,5.9,206.3,17.8,8,,2021-01-08T07:01:36,2021-01-08T18:45:24,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNIB,NIM00065210,DNMM,remote,NII0000DNMM,65201099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2021-01-09,93.2,77.4,84.1,103.1,77.4,88.8,73.9,73.7,0.0,0,0.0,,0,0,19.0,11.4,216.2,1010.3,35.5,6.1,220.0,19.2,8,,2021-01-09T07:01:56,2021-01-09T18:45:54,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,remote,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2021-01-10,93.5,76.4,83.3,105.2,76.4,88.6,75.8,80.0,0.0,0,0.0,,0,0,18.3,15.0,221.8,1009.6,36.2,6.0,218.0,18.9,8,,2021-01-10T07:02:16,2021-01-10T18:46:23,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,remote,NII0000DNMM,65201099999,65100099999,NIM00065208,65208099999"
