name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2020-01-01,95.3,69.7,80.4,95.1,69.7,80.2,63.6,63.1,0.0,0,0.0,,0,0,16.8,12.8,47.3,1011.2,15.9,4.3,257.9,22.3,9,,2020-01-01T06:58:36,2020-01-01T18:41:26,0.2,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,NIM00065202,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,remote,65100099999,NIM00065208,65208099999,65202099999,65201099999"
"Abeokuta, Ogun, Nigeria",2020-01-02,93.5,67.5,78.5,94.3,67.5,78.3,58.1,53.0,0.0,0,0.0,,0,0,21.9,18.3,39.1,1012.2,15.5,4.8,256.7,22.3,9,,2020-01-02T06:59:01,2020-01-02T18:41:57,0.23,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,65213099999,NIM00065213,NII0000DNIB,DNMM,NII0000DNMM,remote,65201099999,NIM00065208,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2020-01-03,91.4,64.8,76.3,90.7,64.8,75.8,56.0,52.8,0.0,0,0.0,,0,0,34.4,21.9,40.4,1013.3,12.9,3.3,257.9,22.3,9,,2020-01-03T06:59:26,2020-01-03T18:42:28,0.25,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2020-01-04,92.7,64.4,77.0,91.2,64.4,76.6,54.5,48.1,0.0,0,0.0,,0,0,18.1,13.9,38.8,1013.3,14.6,2.2,257.5,22.3,9,,2020-01-04T06:59:50,2020-01-04T18:42:59,0.3,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,remote,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2020-01-05,91.4,67.4,77.9,90.7,67.4,77.5,57.8,53.7,0.0,0,0.0,,0,0,14.5,12.0,54.8,1012.0,16.5,1.1,246.9,21.2,9,,2020-01-05T07:00:13,2020-01-05T18:43:30,0.33,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,remote,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2020-01-06,93.2,69.8,80.2,96.4,69.8,81.0,63.7,59.1,0.0,0,0.0,,0,0,13.9,10.3,69.3,1011.1,13.9,1.3,251.2,21.7,9,,2020-01-06T07:00:36,2020-01-06T18:44:01,0.36,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,NIM00065213,NIM00065202,NII0000DNIB,NIM00065210,DNMM,NII0000DNMM,NIM00065208,65100099999,65208099999,65213099999,65201099999"
"Abeokuta, Ogun, Nigeria",2020-01-07,93.2,71.4,81.7,96.4,71.4,82.6,64.3,58.0,0.0,0,0.0,,0,0,13.9,17.2,155.0,1010.6,12.5,1.4,244.2,21.1,9,,2020-01-07T07:00:59,2020-01-07T18:44:31,0.39,Clear,Clear conditions throughout the day.,clear-day,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,remote,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2020-01-08,95.0,74.0,83.1,101.5,74.0,85.2,68.9,64.9,0.0,0,0.0,,0,0,10.3,8.8,229.9,1011.8,12.1,1.4,236.0,20.3,9,,2020-01-08T07:01:20,2020-01-08T18:45:01,0.42,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNIB,NII0000DNIB,DNMM,NII0000DNMM,65201099999,65100099999,NIM00065208,65208099999"
"Abeokuta, Ogun, Nigeria",2020-01-09,96.8,74.5,83.5,107.5,74.5,87.5,72.0,70.5,0.0,0,0.0,,0,0,17.2,8.8,208.6,1011.5,11.0,1.3,251.3,21.6,9,,2020-01-09T07:01:41,2020-01-09T18:45:31,0.46,Clear,Clear conditions throughout the day.,clear-day,"DNIB,NII0000DNIB,DNMM,NII0000DNMM,65201099999,NIM00065208,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2020-01-10,91.5,78.2,84.1,102.7,78.2,91.2,75.7,77.4,0.0,0,0.0,,0,0,16.3,9.3,222.4,1012.7,23.1,1.8,221.9,19.0,8,,2020-01-10T07:02:01,2020-01-10T18:46:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,NII0000DNIB,DNMM,NII0000DNMM,65201099999,65100099999,NIM00065208,65208099999"
